1
200,200,200,200,0,1
200,200,200,200,0,2
0,2,0,0,0,0,0|1,4,0,0,0,0,0|2,3,0,0,0,0,0|3,1,0,0,0,0,0|4,2,0,0,0,0,0|5,1,0,0,0,0,0|6,3,0,0,0,0,0|7,3,0,0,0,0,0|8,3,0,0,0,0,0|9,1,0,0,0,0,0|
10,2,0,0,0,0,0|11,2,0,0,0,0,0|12,2,0,0,0,0,0|13,4,0,0,0,0,0|14,2,0,0,0,0,0|15,4,0,0,0,0,0|16,4,0,0,0,0,0|17,3,0,0,0,0,0|18,4,0,0,0,0,0|19,1,0,0,0,0,0|
20,4,0,0,0,0,0|21,1,0,0,0,0,0|22,3,0,0,0,0,0|23,2,0,0,0,0,0|24,1,0,0,0,0,0|25,3,0,0,0,0,0|26,2,0,0,0,0,0|27,1,0,0,0,0,0|28,3,0,0,0,0,0|29,4,0,0,0,0,0|
30,4,0,0,0,0,0|31,3,0,0,0,0,0|32,4,0,0,0,0,0|33,3,0,0,0,0,0|34,2,0,0,0,0,0|35,1,0,0,0,0,0|36,4,0,0,0,0,0|37,4,0,0,0,0,0|38,4,0,0,0,0,0|39,3,0,0,0,0,0|
40,4,0,0,0,0,0|41,4,0,0,0,0,0|42,3,0,0,0,0,0|43,2,0,0,0,0,0|44,2,0,0,0,0,0|45,1,0,0,0,0,0|46,2,0,0,0,0,0|47,4,0,0,0,0,0|48,2,0,0,0,0,0|49,1,0,0,0,0,0|
50,4,0,0,0,0,0|51,1,0,0,0,0,0|52,3,0,0,0,0,0|53,2,0,0,0,0,0|54,2,0,0,0,0,0|55,4,0,0,0,0,0|56,4,0,0,0,0,0|57,2,0,0,0,0,0|58,2,0,0,0,0,0|59,3,0,0,0,0,0|
60,1,0,0,0,0,0|61,4,0,0,0,0,0|62,3,0,0,0,0,0|63,3,0,0,0,0,0|64,1,0,0,0,0,0|65,3,0,0,0,0,0|66,1,0,0,0,0,0|67,3,0,0,0,0,0|68,1,0,0,0,0,0|69,1,0,0,0,0,0|
70,3,0,0,0,0,0|71,2,0,0,0,0,0|72,3,0,0,0,0,0|73,2,0,0,0,0,0|74,3,0,0,0,0,0|75,3,0,0,0,0,0|76,3,0,0,0,0,0|77,2,0,0,0,0,0|78,2,0,0,0,0,0|79,1,0,0,0,0,0|
80,2,0,0,0,0,0|81,4,0,0,0,0,0|82,1,0,0,0,0,0|83,3,0,0,0,0,0|84,1,0,0,0,0,0|85,1,0,0,0,0,0|86,3,0,0,0,0,0|87,1,0,0,0,0,0|88,4,0,0,0,0,0|89,1,0,0,0,0,0|
90,1,0,0,0,0,0|91,4,0,0,0,0,0|92,3,0,0,0,0,0|93,4,0,0,0,0,0|94,2,0,0,0,0,0|95,3,0,0,0,0,0|96,3,0,0,0,0,0|97,3,0,0,0,0,0|98,2,0,0,0,0,0|99,2,0,0,0,0,0|
